"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
326,"Prokonnesos","Asiane","Hellespontos",23,"662,1","BA 52 B3 (The next line 662,2 is blank)"
327,"Baris","Asiane","Hellespontos",23,"662,3","BA 52 B4"
328,"Parion","Asiane","Hellespontos",23,"662,4","BA 52 A4"
329,"Lampsakos","Asiane","Hellespontos",23,"662,5","BA 51 H4"
330,"Abydos","Asiane","Hellespontos",23,"662,6","BA 51 G4"
331,"Dardanos","Asiane","Hellespontos",23,"662,7","BA 51 G4"
332,"Ilion","Asiane","Hellespontos",23,"662,8","BA 56 C2"
333,"Troas","Asiane","Hellespontos",23,"662,9","BA 56 C2"
334,"Skamandros","Asiane","Hellespontos",23,"662,10","BA 56 C2"
335,"Polichna","Asiane","Hellespontos",23,"662,11","BA 56 Unloc"
336,"Poimanenos","Asiane","Hellespontos",23,"662,12","BA 52 B4"
337,"Artemea","Asiane","Hellespontos",23,"662,13","RE; Unloc"
338,"Rekita?","Asiane","Hellespontos",23,"662,14","BA 56 Unloc"
339,"Blaudos","Asiane","Hellespontos",23,"662,15","BA 56 Unloc"
340,"Skelenta","Asiane","Hellespontos",23,"662,16","RE; Unloc"
341,"Miletoupolis","Asiane","Hellespontos",23,"663,1","BA 52 C4"
342,"Germe","Asiane","Hellespontos",23,"663,2","BA 56 F3 (Hiera) Germe"
343,"Attaos","Asiane","Hellespontos",24,"663,3","Unloc"
344,"Kerge","Asiane","Hellespontos",24,"663,4","BA 56 D2 Gergis"
345,"Sagara","Asiane","Hellespontos",24,"663,5","BA 56 Unloc"
346,"Adrianoutherai","Asiane","Hellespontos",24,"663,6-7","BA 56 F2"
347,"Pionia","Asiane","Hellespontos",24,"663,8","BA 56 F2"
348,"Konision","Asiane","Hellespontos",24,"663,9","BA 56 Unloc"
349,"Argiza","Asiane","Hellespontos",24,"663,10","BA 56 E2"
350,"Hamaxitos Troados?","Asiane","Hellespontos",24,"663,11","BA 56 C2"
351,"Mandakanda","Asiane","Hellespontos",24,"663,12","BA 56 Unloc"
352,"Ergasteria","Asiane","Hellespontos",24,"663,13","BA 56 F2"
353,"Mandrai","Asiane","Hellespontos",24,"664,1","BA 56 Unloc"
354,"Hippoi","Asiane","Hellespontos",24,"664,2","BA 56 Unloc"
355,"Oke Sider-ou/-a?","Asiane","Hellespontos",24,"664,3-4","Unloc"
356,"Skepsis","Asiane","Hellespontos",24,"664,5","BA 56 D2"
357,"Phrygia Pakatiane","Asiane","Phrygia Pakatiane",24,"664,5","BA 102 E4"
358,"Laodikeia","Asiane","Phrygia Pakatiane",24,"665,1","BA 65 B2"
